"Multiplet","alphaO3G","alphaO3Gt","alphaO3W","alphaO3Wt","alphaOHG","alphaOHGt","alphaOHW","alphaOHWt","alphaOHB","alphaOHBt","alphaOHWB","alphaOHWBt","alphaOHBox","alphaOHD","alphaOH","alphaOuG","alphaOuW","alphaOuB","alphaOdG","alphaOdW","alphaOdB","alphaOeW","alphaOeB","alphaOHq1","alphaOHq3","alphaOHu","alphaOHd","alphaOHud","alphaOHl1","alphaOHl3","alphaOHe","alphaOuH","alphaOdH","alphaOeH","alphaOqq1","alphaOqq3","alphaOuu","alphaOdd","alphaOud1","alphaOud8","alphaOqu1","alphaOqu8","alphaOqd1","alphaOqd8","alphaOquqd1","alphaOquqd8","alphaOll","alphaOee","alphaOle","alphaOlq1","alphaOlq3","alphaOeu","alphaOed","alphaOqe","alphaOlu","alphaOld","alphaOledq","alphaOlequ1","alphaOlequ3","alphaWeinberg"
"GranadaCapitalD","L","","","","L","","L","","L","","","","LR","LR","LR","L","L","L","L","L","L","","","LTR","LTR","LR","LR","L","LR","LR","LR","LR","LTR","LR","LR","LR","L","L","L","L","LR","L","LR","L","L","","L","L","L","LR","LR","L","L","LR","L","L","L","L","",""
"GranadaCapitalDelta1","","","L","","","","","","L","","L","","LR","LR","LR","","","","","","","","L","LR","L","LR","LR","","LR","L","LTR","LR","LR","LTR","L","L","L","L","L","","L","L","L","L","L","","L","LR","LR","L","L","LR","LR","LR","L","L","L","L","",""
"GranadaCapitalDelta3","","","L","","","","","","L","","L","","LR","LR","LR","","","","","","","L","L","LR","L","LR","LR","","LR","L","LTR","LR","LR","LTR","L","L","L","L","L","","L","L","L","L","L","","L","LR","LR","L","L","LR","LR","LR","L","L","L","L","",""
"GranadaCapitalE","","","","","","","L","","L","","L","","LR","LR","LR","","","","","","","L","L","LR","LR","LR","LR","","LTR","LTR","LR","LR","LR","LTR","L","","L","L","L","","L","L","L","L","L","","LR","L","LR","LR","LR","L","L","L","LR","LR","L","L","",""
"GranadaCapitalN","","","","","","","L","","L","","L","","LR","LR","LR","","","","","","","L","L","LR","LR","LR","LR","","LTR","LTR","LR","LR","LR","LR","","","","","","","L","L","L","L","L","","LR","","LR","LR","LR","","","","LR","LR","L","L","","LTR"
"GranadaCapitalOmega1","L","","","","L","","","","L","","","","L","L","L","LR","LR","LR","LR","LR","LR","","","LR","LR","LR","LR","LR","L","","L","LR","LR","","LTR","LTR","LR","LR","LTR","LTR","LR","LR","LR","LR","LTR","LTR","L","L","L","LR","LR","LR","LR","LR","LR","LR","LR","LR","",""
"GranadaCapitalOmega2","L","","","","L","","","","L","","","","L","L","L","","","","L","","L","","","L","L","L","LR","","L","","L","","L","","L","L","L","LR","LR","LR","L","L","LR","LR","","","L","L","L","L","","L","LR","L","L","LR","","","",""
"GranadaCapitalOmega4","L","","","","L","","","","L","","","","L","L","L","L","","L","","","","","","L","L","LR","L","","L","","L","L","","","L","L","LR","L","LR","LR","LR","LR","L","L","","","L","L","L","L","","LR","L","L","LR","L","","","",""
"GranadaCapitalPhi","L","","L","","L","","L","","L","","L","","L","L","L","LR","LR","LR","LR","LR","LR","","","LR","L","LR","LR","L","L","L","L","LR","LR","L","LR","LR","LR","LR","LR","LR","LTR","LTR","LTR","LTR","LR","LTR","L","L","L","LR","L","LR","LR","LR","LR","LR","LR","LR","",""
"GranadaCapitalPi1","L","","L","","L","","L","","L","","L","","L","L","L","","","","L","","L","L","L","L","L","L","LR","","LR","L","L","L","L","L","L","L","L","LR","LR","L","L","L","LR","L","","","LR","L","LR","LR","LR","L","LR","L","LR","LTR","LR","","",""
"GranadaCapitalPi7","L","","L","","L","","L","","L","","L","","L","L","L","L","LR","LR","L","L","L","LR","LR","LR","L","LR","L","L","LR","L","LR","LR","L","LR","LR","L","LR","L","LR","L","LR","LR","LR","L","LR","","LR","LR","LR","LR","LR","LR","LR","LTR","LTR","LR","LR","LTR","LTR",""
"GranadaCapitalQ1","L","","L","","L","","","","L","","L","","LR","LR","LR","L","L","L","L","L","L","","","LR","L","LTR","LTR","LTR","LR","L","LR","LTR","LTR","LR","L","L","LR","LR","LR","LR","LR","L","LR","L","L","","L","L","L","L","L","LR","LR","L","LR","LR","L","L","",""
"GranadaCapitalQ5","L","","L","","L","","","","L","","L","","LR","LR","LR","","","","L","L","L","","","LR","L","LR","LTR","LR","LR","L","LR","LR","LTR","LR","L","L","L","LR","LR","L","L","L","LR","L","L","","L","L","L","L","L","L","LR","L","L","LR","L","L","",""
"GranadaCapitalQ7","L","","L","","L","","","","L","","L","","LR","LR","LR","L","L","L","","","","","","LR","L","LTR","LR","LR","LR","L","LR","LTR","LR","LR","L","L","LR","L","LR","L","LR","L","L","L","L","","L","L","L","L","L","LR","L","L","LR","L","L","L","",""
