,name,feynwrite_name,field_latex,op_label,op_latex,val_re,val_im,tree,loop,running,flavour_indices,wcxf
0,D,GranadaCapitalD,$D$,alphaO3G,$\mathcal{O}_{G}$,-6.14026659625114e-05,0.0,0,1,0,,G
1,D,GranadaCapitalD,$D$,alphaO3Gt,$\mathcal{O}_{\tilde{G}}$,0.0,0.0,0,0,0,,Gtilde
2,D,GranadaCapitalD,$D$,alphaO3W,$\mathcal{O}_{W}$,0.0,0.0,0,0,0,,W
3,D,GranadaCapitalD,$D$,alphaO3Wt,$\mathcal{O}_{\tilde{W}}$,0.0,0.0,0,0,0,,Wtilde
4,D,GranadaCapitalD,$D$,alphaOH,$\mathcal{O}_{H}$,0.12867567647132,0.0,0,1,1,,phi
5,D,GranadaCapitalD,$D$,alphaOHB,$\mathcal{O}_{HB}$,-0.00011182296601251664,0.0,0,1,0,,phiB
6,D,GranadaCapitalD,$D$,alphaOHBox,$\mathcal{O}_{H\Box}$,-0.05595999317153821,0.0,0,1,1,,phiBox
7,D,GranadaCapitalD,$D$,alphaOHBt,$\mathcal{O}_{H\tilde{B}}$,0.0,0.0,0,0,0,,phiBtilde
8,D,GranadaCapitalD,$D$,alphaOHD,$\mathcal{O}_{HD}$,-0.08864110574855014,0.0,0,1,1,,phiD
9,D,GranadaCapitalD,$D$,alphaOHG,$\mathcal{O}_{HG}$,0.004589900279589721,0.0,0,1,0,,phiG
10,D,GranadaCapitalD,$D$,alphaOHGt,$\mathcal{O}_{H\tilde{G}}$,0.0,0.0,0,0,0,,phiGtilde
11,D,GranadaCapitalD,$D$,alphaOHW,$\mathcal{O}_{HW}$,0.00030308590489336947,0.0,0,1,0,,phiW
12,D,GranadaCapitalD,$D$,alphaOHWB,$\mathcal{O}_{HWB}$,0.0,0.0,0,0,0,,phiWB
13,D,GranadaCapitalD,$D$,alphaOHWBt,$\mathcal{O}_{HW\tilde{B}}$,0.0,0.0,0,0,0,,phiWtildeB
14,D,GranadaCapitalD,$D$,alphaOHWt,$\mathcal{O}_{H\tilde{W}}$,0.0,0.0,0,0,0,,phiWtilde
15,D,GranadaCapitalD,$D$,alphaOHd,$\mathcal{O}_{Hd}$,-0.00020676076850302677,0.0,0,1,1,33,phid_33
16,D,GranadaCapitalD,$D$,alphaOHe,$\mathcal{O}_{He}$,-0.0006203877322680912,0.0,0,1,0,33,phie_33
