,ops,GranadaVB1
0,\mathcal{O}_{G},0
1,\mathcal{O}_{\tilde{G}},0
2,\mathcal{O}_{W},0
3,\mathcal{O}_{\tilde{W}},0
4,\mathcal{O}_{HG},0
5,\mathcal{O}_{H\tilde{G}},0
6,\mathcal{O}_{HW},1
7,\mathcal{O}_{H\tilde{W}},0
8,\mathcal{O}_{HB},1
9,\mathcal{O}_{H\tilde{B}},0
10,\mathcal{O}_{HWB},1
11,\mathcal{O}_{HW\tilde{B}},0
12,\mathcal{O}_{H\Box},1
13,\mathcal{O}_{HD},1
14,\mathcal{O}_{H},1
15,\mathcal{O}_{uG},1
16,\mathcal{O}_{uW},1
17,\mathcal{O}_{uB},1
18,\mathcal{O}_{dG},1
19,\mathcal{O}_{dW},1
20,\mathcal{O}_{dB},1
21,\mathcal{O}_{eW},0
22,\mathcal{O}_{eB},0
23,\mathcal{O}_{Hq}^{(1)},1
24,\mathcal{O}_{Hq}^{(3)},1
25,\mathcal{O}_{Hu},1
26,\mathcal{O}_{Hd},1
27,\mathcal{O}_{Hud},1
28,\mathcal{O}_{Hl}^{(1)},1
29,\mathcal{O}_{Hl}^{(3)},1
30,\mathcal{O}_{He},1
31,\mathcal{O}_{uH},1
32,\mathcal{O}_{dH},1
33,\mathcal{O}_{eH},1
34,\mathcal{O}_{qq}^{(1)},0
35,\mathcal{O}_{qq}^{(3)},0
36,\mathcal{O}_{uu},1
37,\mathcal{O}_{dd},1
38,\mathcal{O}_{ud}^{(1)},1
39,\mathcal{O}_{ud}^{(8)},1
40,\mathcal{O}_{qu}^{(1)},1
41,\mathcal{O}_{qu}^{(8)},1
42,\mathcal{O}_{qd}^{(1)},1
43,\mathcal{O}_{qd}^{(8)},1
44,\mathcal{O}_{quqd}^{(1)},1
45,\mathcal{O}_{quqd}^{(8)},1
46,\mathcal{O}_{ll},0
47,\mathcal{O}_{ee},0
48,\mathcal{O}_{le},1
49,\mathcal{O}_{lq}^{(1)},0
50,\mathcal{O}_{lq}^{(3)},0
51,\mathcal{O}_{eu},1
52,\mathcal{O}_{ed},1
53,\mathcal{O}_{qe},0
54,\mathcal{O}_{lu},1
55,\mathcal{O}_{ld},1
56,\mathcal{O}_{ledq},1
57,\mathcal{O}_{lequ}^{(1)},1
58,\mathcal{O}_{lequ}^{(3)},0
59,\mathcal{O}_{Weinberg},0
